DateTime,Usage_kWh,ReactivePower_Lagging_kVarh,ReactivePower_Leading_kVarh,CO2_Emissions_tCO2,PowerFactor_Lagging,PowerFactor_Leading,NSM,WeekStatus,Day_of_week,Load_Type,Machine_Type
01/01/2018 00:15,3.84,2.68,0.0,0.0018,70.86,0.0,900,Weekday,Monday,Light,Cooling Bed
01/01/2018 00:30,4.1,3.0,0.0,0.0019,63.12,0.0,1800,Weekday,Monday,Light,Conveyor System
01/01/2018 00:45,3.05,3.79,0.0,0.0014,61.19,0.0,2700,Weekday,Monday,Light,Cooling Bed
01/01/2018 01:00,3.89,4.32,0.0,0.0018,61.93,0.0,3600,Weekday,Monday,Light,Inspection Station
01/01/2018 01:15,3.97,4.08,0.0,0.0019,65.31,0.0,4500,Weekday,Monday,Light,Conveyor System
01/01/2018 01:30,4.22,2.81,0.0,0.002,73.69,0.0,5400,Weekday,Monday,Light,Coil Winder
01/01/2018 01:45,4.37,4.85,0.0,0.0021,61.42,0.0,6300,Weekday,Monday,Light,Coil Winder
01/01/2018 02:00,3.52,3.16,0.0,0.0017,70.72,0.0,7200,Weekday,Monday,Light,Coil Winder
01/01/2018 02:15,3.86,3.67,0.0,0.0018,60.59,0.0,8100,Weekday,Monday,Light,Cooling Bed
01/01/2018 02:30,3.42,4.85,0.0,0.0016,71.35,0.0,9000,Weekday,Monday,Light,Conveyor System
01/01/2018 02:45,4.46,3.57,0.0,0.0021,73.81,0.0,9900,Weekday,Monday,Light,Cooling Bed
01/01/2018 03:00,3.9,3.97,0.0,0.0019,63.22,0.0,10800,Weekday,Monday,Light,Inspection Station
01/01/2018 03:15,3.02,2.5,0.0,0.0014,63.29,0.0,11700,Weekday,Monday,Light,Inspection Station
01/01/2018 03:30,4.16,3.81,0.0,0.002,65.0,0.0,12600,Weekday,Monday,Light,Conveyor System
01/01/2018 03:45,3.79,4.04,0.0,0.0018,69.7,0.0,13500,Weekday,Monday,Light,Conveyor System
01/01/2018 04:00,3.7,2.88,0.0,0.0018,72.71,0.0,14400,Weekday,Monday,Light,Conveyor System
01/01/2018 04:15,3.44,4.06,0.0,0.0016,62.11,0.0,15300,Weekday,Monday,Light,Inspection Station
01/01/2018 04:30,3.68,4.88,0.0,0.0017,71.89,0.0,16200,Weekday,Monday,Light,Conveyor System
01/01/2018 04:45,3.77,4.46,0.0,0.0018,62.78,0.0,17100,Weekday,Monday,Light,Cooling Bed
01/01/2018 05:00,3.49,2.94,0.0,0.0017,74.04,0.0,18000,Weekday,Monday,Light,Conveyor System
01/01/2018 05:15,4.04,4.6,0.0,0.0019,65.52,0.0,18900,Weekday,Monday,Light,Coil Winder
01/01/2018 05:30,3.73,4.91,0.0,0.0018,60.11,0.0,19800,Weekday,Monday,Light,Conveyor System
01/01/2018 05:45,4.16,2.69,0.0,0.002,73.09,0.0,20700,Weekday,Monday,Light,Inspection Station
01/01/2018 06:00,4.36,4.87,0.0,0.0021,61.1,0.0,21600,Weekday,Monday,Light,Conveyor System
01/01/2018 06:15,3.31,2.54,0.0,0.0016,65.43,0.0,22500,Weekday,Monday,Light,Conveyor System
